name;zone
11 de Agosto;18
12 de Diciembre;18
14 de Enero;18
15 Calle Final;18
21 de Agosto;18
3 de Mayo;18
5 de Noviembre;18
Alameda I;18
Alameda II;18
Alameda II B;18
Alameda III;18
Alameda IV;18
Alameda Norte;18
Altos de Atlántida;18
Altos De Casa Grande;18
Altos De La Atlantida;18
Altos de Sinai;18
Altos del Rosario;18
Altos Del Rosario I;18
Altos Del Rosario II;18
Andrea Del Rosario;18
Anexo El Mirador;25
Anexo El Rosario I;18
Anexo El Rosario II;18
Anexo Ilusiones;18
Anexo Kennedy;18
Anexo Las Ilusiones;18
Anexo Santa Faz;18
Atlántida;18
Atlantida Militar;18
Barrio Colombia;18
Barrio Mexico;18
Belice;18
Bello Amanecer;18
Bosques de Mirlavalle;18
Bounalbergo;17
Buena Vista;18
Buenos Aires;18
Callejon Distún;17
Callejon Mayen & San Valentin;18
Cambio 96;18
Camino de luz;18
Canaan;18
Cañaveral;18
Candelaria;18
Caracoles;18
Caracoles Anexo;18
Carretera;17
Carretera;18
Carretera;24
Carretera;25
Casa Bella;17
Casa Grande;18
Casatenango;17
Ceiba I;18
Ceiba II;18
Ceiba III;25
Ceiba IV;25
Central;24
Cerritos;18
Cipresales;18
Cipresales Parte Alta;18
Cipresales Parte Baja;18
Citadella;17
Colegio De Maestros;17
Colinas de Llano Largo;25
Colinas del Atlantico;18
Colombia;18
Comunidad Arzu;25
El Manantial;18
Covifiari;18
Covitigss;17
Cristo Nuestra Paz;18
Cruz De Los Vados;18
Cumbre del Guayabo;18
Del Atlantico;18
Dios y Colinas;18
Ebenezer;18
El Aceituno;17
El Amate;18
El Amate Redondo;25
El Bambu;17
El Bebedero;17
El Bordo;18
El Bosque;18
El Buen Pastor;25
El Caminero;18
El Caracol;18
El Carmen;17
El Chatio;18
El Chato;18
El Comunal;18
El Crucifijo;25
El Encinal;18
El Esfuerzo;18
El Esfuerzo II;18
El Gran Cañon;18
El Horizonte;18
El Hornito;18
El Jagüey;24
El Limon;18
El Limon II;18
El Manantial;18
El Mirador;18
El Parquecito;25
El Pinito ;17
El Pino;17
El Porvenir;24
El Prado;18
El Purgatorio;18
El Refugio De San Rafael;18
El Rincón;25
El Rinconcito;18
El Rosario;18
El Valle;18
El Vergel;25
Emanuel;25
Esquipulas;18
Fatima;18
Finca Rustica;25
Fuentes del Valle Norte;18
Galilea;18
Greystone;18
Guadalupano;18
Guamilco;18
Hermano Pedro;25
Holanda;18
Ilusiones;18
Iruña;17
Italia;18
Jardines Del Norte;18
Jardines Del Rosario;18
John F. Kennedy;18
Juana De Arco;18
Kerns;17
La Aventurera;18
La Bendición;18
La Bomba;18
La Cañada;18
La Canoitas;25
La Cebadilla;25
La Colina;17
La Esperanza;18
La Esperanza;25
La Estancia;18
La Estancia Feliz;18
La Fidelidad;18
La Guadalupana;25
La Hondonada;25
La Independencia;18
La Isla;24
La Joya;18
La Joya (chompipera);18
La Joyita;18
La Laguneta;18
La Libertad;25
La Loma;18
La Lomita;18
La Nueva Esperanza;18
La Pascua;18
La Pileta;18
La Rotonda;18
La Ruedita;18
La Sabana;17
La Union;25
Laderas del Paraiso;18
Las Alondras;18
Las Americas;18
Las Brisas;18
Las Canoas;25
Las Champas;25
Las Conchas;25
Las Delicias;18
Las Delicias;24
Las Huertas;24
Las Ilusiones;18
Las Lumbres;18
Las Monjas;18
Las Perlas;18
Las Pilas;18
Las Pilas;24
Las Tapias;18
Las Torres;18
Las Vacas;17
Las Victorias;18
Lavarreda;18
Limon II;18
Llano Largo;18
Lo De Rodriguez;18
Lomas De Lavarreda;18
Lomas De Santa Clara I;18
Lomas De Santa Clara Ii;18
Lomas Del Norte;17
Los Alamos;18
Los Angeles;24
Los Angeles;25
Los Ca+Æaverales;18
Los Caracoles;18
Los Caracoles, Anexo Santa Elena Ii;18
Los Chiroyes;18
Los Encinos;18
Los Encinos (Cruz II);18
Los Encinos Las Tapias;18
Los Encuentros;18
Los Encuentros;24
Los Lirios;18
Los Olivos;18
Los Pinos;18
Los Vados;18
Lotificación El Eden;18
Lotificación San Luis;18
Lourdes;24
Marinas;18
Maya;18
Mexico;18
Meyer;17
Mirador   ;25
Mirador De La Cruz;18
Mirador Del Norte;17
Mirador Ilusiones;18
Miraflores;17
Miralnorte;18
Monaco;18
Monja Blanca;18
Nazareth;18
Nueva Jerusalen;18
Nuevo Paraiso;18
Oscar Berger;18
Panoramas del Norte;18
Panoramicas Del Atlantico;18
Paraiso I;18
Paraíso II;18
Pasaje Norte;17
Pinares de Llano Largo;24
Pinares Del Norte;18
Planos De Llano Largo;18
Portal Del Bosque;18
Prados Del Norte;18
Prolongacion;18
Puerta del Jardin;18
Quinta Ruiz;18
Rafael Castro;25
Renacimiento Municipal;18
Residenciales Atlántico;18
Residenciales Del Norte;17
Residenciales El Caracol;18
Residenciales La Colina;18
Residenciales Maya;18
Rincon Paraiso;17
Rodriguitos;18
Sabana Arriba;17
Salud Pública;17
San Agustin;24
San Agustin;25
San Angel Los Vados;18
San Antonio;18
San Benito;18
San Fernando;17
San Gabriel;18
San Jorge;18
San Jose;18
San José del Amate I y II;25
San José Lavarreda;18
San Judas Tadeo;18
San Luis;18
San Luisa;25
San Manuel ;25
San Martin;18
San Pascual I;18
San Pascual Ii;18
San Pascual III;18
San Pascual III;25
San Rafael Buena Vista;18
San Rafael El Prado;18
San Rafael I;18
San Rafael II;18
San Rafael III La Colina;18
San Rafael III La Laguna;18
San Rafael La Laguna I;18
San Rafael La Laguna Ii;18
San Rafael La Laguna Iii, Colinas;18
San Ramón;18
Santa Amalia;18
Santa Anita;24
Santa Anita;25
Santa Barbara;18
Santa Cristina;18
Santa Delfina;25
Santa Elena II ;18
Santa Elena Iii;18
Santa Faz;18
Santa Genoveva Ii;18
Santa Genoveva Iii;18
Santa Lucia;18
Santa Lucia Los ocotes;25
Santa Luisa;18
Santa Monica;18
Santo Domingo;18
Sector Pedroza;18
Sector Soto;18
Soluna;18
Tierra Prometida;25
Valladolid;18
Valle De Jesus I;18
Valle de Jesús II;18
Valle Del Atlantico;18
Valle Del Norte;18
Valle Encantado;18
Valle Verde;18
Valles Del Encino;18
Valles del Norte;18
Villa Adela;18
Villa Atlantis;17
Villa Ilusiones;18
Villa Juanita;18
Villa Norte;18
Villa San Carlos;18
Villa Verde;17
Villas Alameda;18
Villas De Alcala;18
Villas De Llano Largo;18
Villas De San Rafael La Laguna;18
Villas del Hermano Pedro;25
Villas Del Hermano Pedro Iii;18
Villas Del Norte;17
Villas Las Ilusiones;18
Villas Texanas;18
Virgen de la Montaña;25
Vista Hermosa;17
Vistalsur;17
Vistas del Atlantico;18
Vistas Del Prado;18
